"date","term","rate"
2021 Apr,48,0.187285302069286
2021 May,48,0.22
2021 Jun,48,0.22
2021 Jul,48,0.21
2021 Aug,48,0.22
2021 Sep,48,0.22
2021 Oct,48,0.22
2021 Nov,48,0.19
2021 Dec,48,0.22
2022 Jan,48,0.22
2022 Feb,48,0.22
2022 Mar,48,0.23
2022 Apr,48,0.26
2022 May,48,0.31
2022 Jun,48,0.39
2022 Jul,48,0.45
2022 Aug,48,0.55
2022 Sep,48,0.63
2022 Oct,48,0.73
2022 Nov,48,0.86
2022 Dec,48,0.97
2023 Jan,48,1.11
2023 Feb,48,1.15
2023 Mar,48,1.25
2023 Apr,48,1.29
2023 May,48,1.3
2023 Jun,48,1.29
2023 Jul,48,1.3
2023 Aug,48,1.34
2023 Sep,48,1.31
2023 Oct,48,1.3
2023 Nov,48,1.32
2023 Dec,48,1.33
2024 Jan,48,1.34
2024 Feb,48,1.32
2024 Mar,48,1.29
2024 Apr,48,1.32
2024 May,48,1.33
2024 Jun,48,1.36
2024 Jul,48,1.36
2024 Aug,48,1.35
2024 Sep,48,1.35
2024 Oct,48,1.29
2024 Nov,48,1.27
2024 Dec,48,1.24
2025 Jan,48,1.24
2025 Feb,48,1.23
2025 Mar,48,1.27
2025 Apr,48,1.27
2025 May,48,1.27
2025 Jun,48,1.26
2025 Jul,48,1.26
2025 Aug,48,1.26
2025 Sep,48,1.26
2025 Oct,48,1.26
2025 Nov,48,1.24
2025 Dec,48,1.24
2026 Jan,48,1.25
2026 Feb,48,1.25
2026 Mar,48,1.24
2026 Apr,48,1.25
2026 May,48,1.24
2026 Jun,48,1.25
